Time	Position	Velocity	Acceleration	Position	Velocity	Acceleration
0.00	0.231	-0.015	-0.628	0.190	-0.116	1.183
0.02	0.231	-0.026	-0.542	0.188	-0.105	1.889
0.04	0.231	-0.049	-0.059	0.184	-0.055	2.514
0.06	0.228	-0.042	0.882	0.185	0.025	1.876
0.08	0.228	0.000	1.154	0.187	0.048	0.045
0.10	0.228	0.034	0.179	0.188	0.006	-0.803
0.12	0.231	-0.001	-0.449	0.187	-0.032	0.428
0.14	0.228	-0.024	0.561	0.184	0.028	1.399
0.16	0.228	0.038	0.851	0.188	0.084	-0.161
0.18	0.231	0.049	-0.505	0.190	0.035	-2.215
0.20	0.231	0.009	-1.478	0.191	-0.072	-1.406
0.22	0.231	-0.041	-1.005	0.184	-0.055	0.992
0.24	0.229	-0.052	0.531	0.187	0.020	1.308
0.26	0.228	-0.008	1.496	0.187	0.019	0.408
0.28	0.228	0.040	0.866	0.187	0.021	-0.163
0.30	0.231	0.041	-0.549	0.188	0.031	-1.318
0.32	0.231	0.008	-1.450	0.191	-0.050	-1.378
0.34	0.231	-0.041	-1.060	0.185	-0.080	0.883
0.36	0.229	-0.062	0.600	0.185	0.004	2.247
0.38	0.227	-0.009	1.757	0.185	0.082	0.512
0.40	0.228	0.056	0.735	0.192	0.025	-1.386
0.42	0.231	0.040	-1.130	0.186	-0.033	-0.704
0.44	0.231	-0.031	-1.173	0.188	-0.010	0.432
0.46	0.229	-0.037	0.136	0.186	-0.005	1.109
0.48	0.228	-0.004	0.561	0.187	0.064	0.480
0.50	0.229	0.021	-0.514	0.191	0.023	-0.460
0.52	0.231	-0.030	-1.273	0.188	-0.009	0.939
0.54	0.228	-0.084	0.260	0.188	0.061	2.222
0.56	0.225	-0.034	2.223	0.190	0.124	1.438
0.58	0.225	0.077	1.087	0.194	0.155	-1.045
0.60	0.232	0.049	-1.796	0.199	0.070	-2.783
0.62	0.229	-0.068	-1.618	0.197	-0.030	-1.173
0.64	0.225	-0.040	-0.155	0.194	0.002	1.503
0.66	0.228	-0.052	0.615	0.196	0.094	1.508
0.68	0.222	-0.007	1.093	0.201	0.068	0.839
0.70	0.229	-0.002	1.114	0.197	0.122	0.308
0.72	0.222	0.002	2.240	0.208	0.105	-0.962
0.74	0.225	0.142	0.966	0.203	0.008	0.873
0.76	0.232	0.098	-2.529	0.202	0.149	2.176
0.78	0.232	-0.051	-2.172	0.211	0.186	-0.195
0.80	0.226	-0.034	0.120	0.213	0.113	-1.538
0.82	0.230	0.017	-0.005	0.215	0.065	-0.563
0.84	0.228	0.004	-1.651	0.213	0.119	-0.419
0.86	0.232	-0.099	-1.219	0.222	0.082	-1.508
0.88	0.222	-0.108	1.928	0.217	0.001	-0.307
0.90	0.225	0.025	2.987	0.218	0.062	1.250
0.92	0.225	0.072	1.292	0.221	0.093	1.098
0.94	0.228	0.087	-1.016	0.223	0.104	0.799
0.96	0.231	-0.021	-1.133	0.224	0.131	0.214
0.98	0.224	0.007	0.335	0.229	0.108	-0.113
1.00	0.231	0.049	-0.371	0.228	0.092	0.757
1.02	0.229	-0.002	-1.201	0.230	0.182	-0.093
1.04	0.231	-0.048	-0.216	0.239	0.130	-2.459
1.06	0.224	-0.011	0.730	0.237	-0.015	-0.798
1.08	0.230	0.043	-0.736	0.232	0.094	1.221
1.10	0.230	-0.049	-1.807	0.244	0.104	0.411
