Red:Wavelength(nm),Red:Intensity,Blue:Wavelength(nm),Blue:Intensity,Orange:Wavelength(nm),Orange:Intensity,Yellow:Wavelength(nm),Yellow:Intensity,Green:Wavelength(nm),Green:Intensity,White Blue:Wavelength(nm),White Blue:Intensity,Red 2:Wavelength(nm),Red 2:Intensity,Red 3:Wavelength(nm),Red 3:Intensity,Red 4:Wavelength(nm),Red 4:Intensity
380.2,0.000365,380.2,0.003407,380.2,0.000842,380.2,0.000666,380.2,-0.00025,380.2,0.957349,380.2,0.000413,380.2,0.001306,380.2,0.00119
381,0.000127,381,0.003269,381,0.00082,381,0.000446,381,-6.65E-05,381,0.964578,381,0.00038,381,0.00097,381,0.001007
381.8,0.000129,381.8,0.003181,381.8,0.000649,381.8,0.000274,381.8,0.000295,381.8,0.97865,381.8,0.000225,381.8,0.000969,381.8,0.000496
382.7,-0.00047,382.7,0.003456,382.7,0.001063,382.7,5.88E-05,382.7,0.00019,382.7,0.979058,382.7,0.000171,382.7,0.001003,382.7,0.000258
383.5,-0.00075,383.5,0.003369,383.5,0.001371,383.5,-6.80E-05,383.5,5.60E-05,383.5,0.97906,383.5,-0.00019,383.5,0.000346,383.5,7.12E-05
384.3,-0.00076,384.3,0.002754,384.3,0.000418,384.3,8.07E-05,384.3,-0.00018,384.3,0.97905,384.3,-0.00039,384.3,-4.68E-05,384.3,-0.00028
385.2,9.03E-05,385.2,0.003233,385.2,0.000308,385.2,0.000891,385.2,0.000564,385.2,0.979057,385.2,-0.00019,385.2,-6.30E-05,385.2,0.000739
386,-6.49E-05,386,0.002905,386,-0.00029,386,0.001391,386,0.000238,386,0.979056,386,-0.00042,386,0.000677,386,0.000886
386.8,0.000355,386.8,0.003618,386.8,0.000494,386.8,0.001513,386.8,0.000442,386.8,0.97907,386.8,3.01E-05,386.8,0.001044,386.8,0.001511
387.6,0.00027,387.6,0.003781,387.6,0.001099,387.6,0.001132,387.6,0.000277,387.6,0.979072,387.6,0.000378,387.6,0.000941,387.6,0.001285
388.5,0.001068,388.5,0.004138,388.5,0.001388,388.5,0.000826,388.5,0.000444,388.5,0.979076,388.5,0.00068,388.5,0.000928,388.5,0.001133
389.3,-1.34E-05,389.3,0.003136,389.3,0.000714,389.3,0.00018,389.3,-6.50E-05,389.3,0.979057,389.3,-0.00052,389.3,0.000587,389.3,0.000581
390.1,-0.00055,390.1,0.001979,390.1,-0.00013,390.1,-0.00087,390.1,-0.00102,390.1,0.979039,390.1,-0.00144,390.1,-0.00025,390.1,-0.00086
391,-0.00053,391,0.002472,391,0.00013,391,-0.00107,391,-0.00069,391,0.979046,391,-0.00119,391,6.13E-05,391,-9.15E-07
391.8,0.000287,391.8,0.002841,391.8,0.000419,391.8,-0.00037,391.8,-0.00039,391.8,0.979057,391.8,-0.00064,391.8,0.00089,391.8,0.000596
392.6,0.000181,392.6,0.0033,392.6,-6.98E-05,392.6,0.00015,392.6,0.000209,392.6,0.979064,392.6,0.000177,392.6,0.001214,392.6,0.001251
393.5,0.000473,393.5,0.002802,393.5,-6.68E-05,393.5,6.39E-05,393.5,5.27E-05,393.5,0.979059,393.5,0.00041,393.5,0.001324,393.5,0.000642
394.3,-5.50E-05,394.3,0.002668,394.3,0.000113,394.3,-0.0003,394.3,8.29E-05,394.3,0.979057,394.3,0.000393,394.3,0.000487,394.3,0.000151
395.1,0.001181,395.1,0.003582,395.1,0.00134,395.1,0.000125,395.1,0.000824,395.1,0.979076,395.1,0.000818,395.1,0.00137,395.1,0.001185
395.9,0.000851,395.9,0.003483,395.9,0.001462,395.9,0.000308,395.9,0.000787,395.9,0.979074,395.9,0.000702,395.9,0.000662,395.9,0.000713
396.8,0.00113,396.8,0.003782,396.8,0.001415,396.8,0.000111,396.8,0.00065,396.8,0.97907,396.8,0.000834,396.8,0.001131,396.8,0.000779
397.6,0.000553,397.6,0.003105,397.6,0.001201,397.6,0.000496,397.6,6.95E-05,397.6,0.979063,397.6,0.000413,397.6,0.000512,397.6,0.000261
398.4,0.000404,398.4,0.003402,398.4,0.000664,398.4,0.000475,398.4,0.000162,398.4,0.979067,398.4,0.000245,398.4,0.001138,398.4,0.000464
399.3,0.000363,399.3,0.00325,399.3,0.00081,399.3,0.000779,399.3,0.000409,399.3,0.979068,399.3,0.000151,399.3,0.000912,399.3,0.000605
400.1,-0.00034,400.1,0.002865,400.1,0.000862,400.1,0.000117,400.1,0.000541,400.1,0.979063,400.1,-0.00041,400.1,0.001174,400.1,-3.77E-05
400.9,-0.00028,400.9,0.002764,400.9,0.001039,400.9,0.000428,400.9,-0.00037,400.9,0.979062,400.9,-0.00055,400.9,0.000763,400.9,-0.00016
401.8,-0.00012,401.8,0.00303,401.8,0.001025,401.8,0.000624,401.8,-0.00094,401.8,0.979063,401.8,-4.78E-05,401.8,0.000878,401.8,-8.96E-05
402.6,0.000353,402.6,0.003616,402.6,0.000599,402.6,0.000656,402.6,-0.00114,402.6,0.979062,402.6,0.00043,402.6,0.000414,402.6,0.00038
403.4,0.000328,403.4,0.004061,403.4,0.000881,403.4,0.000791,403.4,0.00014,403.4,0.979064,403.4,0.000591,403.4,0.000495,403.4,0.001013
404.2,0.000708,404.2,0.004089,404.2,0.001178,404.2,0.000541,404.2,0.000389,404.2,0.979069,404.2,0.000255,404.2,0.000824,404.2,0.001186
405.1,0.000567,405.1,0.004094,405.1,0.000795,405.1,0.000698,405.1,0.000361,405.1,0.979064,405.1,8.56E-05,405.1,0.000806,405.1,0.001561
405.9,0.000141,405.9,0.003536,405.9,0.000384,405.9,6.31E-05,405.9,-0.00041,405.9,0.979055,405.9,-0.00019,405.9,0.00032,405.9,0.001322
406.7,-0.00054,406.7,0.003839,406.7,0.000377,406.7,2.82E-05,406.7,-1.31E-05,406.7,0.979057,406.7,-3.53E-05,406.7,-1.24E-05,406.7,0.001041
407.6,7.74E-05,407.6,0.00418,407.6,0.00117,407.6,0.000327,407.6,2.15E-05,407.6,0.979066,407.6,0.00039,407.6,6.79E-06,407.6,0.00088
408.4,0.000456,408.4,0.00454,408.4,0.001413,408.4,0.00062,408.4,0.000727,408.4,0.979071,408.4,0.000614,408.4,0.000605,408.4,0.00101
409.2,0.000407,409.2,0.004209,409.2,0.001337,409.2,0.000933,409.2,0.000353,409.2,0.979066,409.2,0.000415,409.2,-0.0003,409.2,0.001221
410.1,0.000224,410.1,0.003997,410.1,0.000767,410.1,0.000403,410.1,0.000503,410.1,0.97906,410.1,0.000173,410.1,2.42E-05,410.1,0.000791
410.9,0.000191,410.9,0.003946,410.9,0.000466,410.9,0.000554,410.9,-0.00032,410.9,0.979057,410.9,7.30E-05,410.9,-0.00025,410.9,0.000155
411.7,0.000774,411.7,0.004462,411.7,0.000306,411.7,3.16E-05,411.7,-0.00026,411.7,0.979061,411.7,0.000251,411.7,0.000648,411.7,-0.00021
412.5,0.000785,412.5,0.004815,412.5,0.001015,412.5,0.000419,412.5,-2.82E-05,412.5,0.979064,412.5,0.000137,412.5,0.001075,412.5,-8.66E-06
413.4,0.000375,413.4,0.00499,413.4,0.001344,413.4,0.000431,413.4,0.000528,413.4,0.979065,413.4,0.000401,413.4,0.001288,413.4,0.000578
414.2,0.000364,414.2,0.004665,414.2,0.001492,414.2,0.000801,414.2,0.000402,414.2,0.979061,414.2,0.000193,414.2,0.001,414.2,0.001332
415,-0.00029,415,0.004136,415,0.000995,415,0.000456,415,8.97E-05,415,0.979061,415,0.000118,415,0.000818,415,0.001264
