Time	Position	Velocity	Acceleration	Position	Velocity	Acceleration
0.00	0.226	0.000	0.083	0.225	-0.025	0.851
0.02	0.226	0.001	0.127	0.224	-0.005	0.642
0.04	0.226	0.003	0.180	0.225	0.008	0.290
0.06	0.226	0.010	0.117	0.225	0.007	-0.071
0.08	0.227	0.013	-0.252	0.225	0.001	-0.263
0.10	0.227	0.004	-0.770	0.225	-0.005	-0.479
0.12	0.227	-0.015	-1.300	0.225	-0.012	-0.824
0.14	0.227	-0.066	-0.907	0.225	-0.033	-1.230
0.16	0.223	-0.067	0.378	0.225	-0.101	0.008
0.18	0.224	-0.052	1.673	0.218	-0.030	1.075
0.20	0.221	-0.002	2.725	0.225	-0.014	0.103
0.22	0.223	0.104	1.561	0.217	-0.021	-1.024
0.24	0.227	0.090	-0.894	0.225	-0.052	-1.984
0.26	0.227	0.025	-1.595	0.218	-0.183	0.587
0.28	0.227	0.004	-1.139	0.211	-0.035	3.262
0.30	0.228	-0.008	-0.886	0.218	0.064	0.891
0.32	0.228	-0.047	0.010	0.217	-0.003	-1.367
0.34	0.224	-0.006	0.745	0.217	-0.037	-1.563
0.36	0.228	0.010	0.324	0.217	-0.129	1.222
0.38	0.225	0.002	0.030	0.206	0.022	3.695
0.40	0.228	0.001	0.107	0.220	0.092	2.655
0.42	0.225	0.007	0.260	0.211	0.124	1.311
0.44	0.228	0.015	0.181	0.224	0.188	-1.923
0.46	0.225	0.013	0.113	0.224	0.005	-3.130
0.48	0.228	0.034	-0.446	0.220	-0.003	-1.307
0.50	0.229	-0.023	-0.261	0.224	-0.011	-0.609
0.52	0.225	0.004	0.705	0.220	-0.036	0.459
0.54	0.228	0.042	0.184	0.221	0.008	1.110
0.56	0.229	0.011	-0.366	0.221	0.041	0.362
0.58	0.228	0.008	-0.217	0.223	0.033	-0.804
0.60	0.229	0.009	-0.232	0.223	-0.029	-0.397
0.62	0.229	-0.001	-0.200	0.220	0.001	0.747
0.64	0.229	-0.004	-0.043	0.223	0.040	0.270
0.66	0.228	0.000	-0.059	0.223	0.015	-0.451
0.68	0.229	0.002	-0.365	0.223	0.004	-0.457
0.70	0.229	-0.013	-0.680	0.223	-0.005	-0.288
0.72	0.229	-0.048	-0.097	0.223	-0.008	-0.106
0.74	0.225	-0.014	0.419	0.223	-0.003	-0.296
0.76	0.229	-0.007	-0.006	0.223	-0.006	-1.053
0.78	0.226	-0.033	0.188	0.223	-0.043	-1.618
0.80	0.226	-0.002	0.378	0.222	-0.115	-0.176
0.82	0.226	0.018	-0.649	0.216	-0.089	2.657
0.84	0.229	-0.051	-0.564	0.216	0.064	2.346
